epoch,J_train,J_test,accuracy
0,2.31166,1.95821,0.3295
1,2.01273,1.896,0.3718
2,1.93869,1.82671,0.3797
3,1.88658,1.79478,0.4059
4,1.84833,1.79789,0.4101
5,1.81718,1.77226,0.4263
6,1.78019,1.73416,0.435
7,1.76237,1.77233,0.441
8,1.73616,1.76706,0.4427
9,1.71396,1.74719,0.4482
10,1.69376,1.72991,0.4499
11,1.67282,1.73154,0.4551
12,1.65681,1.74338,0.4613
13,1.63805,1.69498,0.4636
14,1.61885,1.71552,0.4721
15,1.60687,1.72093,0.4713
16,1.59258,1.71253,0.4744
17,1.57978,1.65117,0.4861
18,1.56451,1.65138,0.4837
19,1.54504,1.69179,0.4835
20,1.5378,1.6814,0.4893
21,1.51538,1.64918,0.494
22,1.50709,1.62512,0.4932
23,1.49222,1.61355,0.4991
24,1.48754,1.62958,0.5003
25,1.47138,1.64349,0.4984
26,1.46207,1.61983,0.5036
27,1.44504,1.64169,0.5079
28,1.43541,1.61661,0.51
29,1.41636,1.6421,0.5061
