epoch,J_train,J_test,accuracy
0,4.18619,2.91735,0.2378
1,2.96742,2.54743,0.2659
2,2.67502,2.39551,0.284
3,2.52005,2.35957,0.2923
4,2.41461,2.28508,0.3053
5,2.35504,2.2429,0.3157
6,2.29817,2.21508,0.3231
7,2.2542,2.19901,0.3255
8,2.21839,2.18358,0.3308
9,2.19463,2.16947,0.3347
10,2.17017,2.16584,0.3414
11,2.15005,2.14721,0.3454
12,2.12556,2.14251,0.35
13,2.11237,2.11868,0.353
14,2.09488,2.10514,0.3536
15,2.08268,2.10759,0.3576
16,2.06555,2.0947,0.3592
17,2.06027,2.08544,0.3618
18,2.04424,2.07815,0.3627
19,2.04022,2.08472,0.3636
20,2.01843,2.07718,0.3662
21,2.01165,2.07505,0.3661
22,2.00462,2.06369,0.3724
23,1.9953,2.05279,0.3748
24,1.98991,2.05066,0.3763
25,1.97986,2.05024,0.3749
26,1.96692,2.02891,0.3768
27,1.9675,2.02854,0.3799
28,1.9504,2.03389,0.381
29,1.9527,2.01966,0.3839
